date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-09-06,16.4008,16.4335,16.4724,16.3657,16.3791,16.4531,16.5108,16.3501,16.2841,16.344,16.4251,16.3801,16.5143,16.4766,16.2441,16.4302,16.4744,16.5034,16.2747,16.4549,16.1753,16.2368,16.5262,16.5961,16.4557,16.5259,16.3916,16.5401,16.3348,16.1668,16.5,16.3456,16.2348,16.2466,16.3662,16.3023,16.4585,16.1756,16.2891,16.1238,16.3302,16.2816,16.4354,16.1767,16.491,16.3117,16.5317,16.4747,16.2864,16.3529,2026-08-17,432
2026-09-07,16.4042,16.3859,16.4023,16.1939,16.2598,16.3367,16.5176,16.258,16.2814,16.3077,16.4581,16.3516,16.4205,16.5235,16.1676,16.407,16.4285,16.5173,16.2132,16.4026,16.1868,16.2355,16.5797,16.5523,16.3909,16.5143,16.2486,16.4253,16.2252,16.1769,16.5138,16.3021,16.1938,16.2333,16.285,16.2968,16.3373,16.228,16.2777,16.0855,16.25,16.299,16.3298,16.286,16.4508,16.3397,16.4065,16.4008,16.2454,16.3058,2026-08-17,432
2026-09-08,16.3105,16.3754,16.3321,16.2373,16.1924,16.3964,16.4784,16.2128,16.3199,16.2484,16.4672,16.424,16.3825,16.4866,16.207,16.3446,16.458,16.4766,16.1884,16.3037,16.1327,16.283,16.5213,16.4887,16.3253,16.3465,16.0421,16.4036,16.1091,16.1647,16.5119,16.2194,16.2265,16.2206,16.2377,16.2908,16.2898,16.2102,16.1632,16.0601,16.2608,16.3224,16.2857,16.299,16.3091,16.2696,16.333,16.3458,16.2327,16.3128,2026-08-17,432
2026-09-09,16.3357,16.3702,16.3198,16.2121,16.2848,16.4637,16.3331,16.2513,16.2911,16.3078,16.3959,16.4451,16.3353,16.4948,16.198,16.285,16.5674,16.4092,16.2245,16.2968,16.1271,16.1311,16.5076,16.4726,16.2574,16.37,16.0336,16.3958,16.1128,16.1665,16.5118,16.1,16.2596,16.2225,16.2354,16.1812,16.2929,16.1766,16.0531,16.0796,16.3019,16.3261,16.1871,16.3116,16.2331,16.2161,16.3031,16.2712,16.2676,16.2349,2026-08-17,432
2026-09-10,16.2345,16.416,16.2932,16.1266,16.2731,16.3956,16.3656,16.2404,16.2001,16.2865,16.3281,16.3918,16.3361,16.5105,16.2805,16.1713,16.6052,16.3577,16.2463,16.2879,16.1602,16.0897,16.3895,16.4448,16.2504,16.3229,16.0198,16.4633,16.1697,16.2212,16.5539,16.0611,16.3271,16.2672,16.1063,16.1664,16.2989,16.1558,16.0594,16.0967,16.2608,16.2835,16.1492,16.3378,16.2755,16.2214,16.2466,16.3258,16.1905,16.2207,2026-08-17,432
2026-09-11,16.2064,16.3738,16.3024,16.1093,16.2325,16.4338,16.3488,16.2692,16.1922,16.239,16.2867,16.3866,16.3422,16.5038,16.4119,16.1177,16.5886,16.3823,16.188,16.2454,16.136,16.0708,16.2874,16.4052,16.2548,16.3258,16.0935,16.4138,16.2202,16.1452,16.513,16.0034,16.2097,16.2614,16.0696,16.1563,16.2625,16.0479,16.0556,16.1158,16.2603,16.233,16.2252,16.2923,16.2543,16.1846,16.1689,16.3257,16.107,16.1998,2026-08-17,432
2026-09-12,16.1696,16.3883,16.2805,16.1949,16.1037,16.4568,16.2956,16.2313,16.0993,16.1989,16.2774,16.397,16.434,16.5679,16.4411,16.1664,16.5429,16.203,16.1144,16.2647,16.1199,16.1576,16.249,16.3157,16.2537,16.3352,16.1315,16.4287,16.2054,16.0423,16.4458,16.0502,16.182,16.2422,16.1199,16.0744,16.2047,16.0753,16.0192,16.1142,16.2651,16.1338,16.1317,16.2784,16.2683,16.1863,16.197,16.3977,16.0997,16.1916,2026-08-17,432
2026-09-13,16.1183,16.3813,16.21,16.141,16.0903,16.4655,16.2492,16.1992,16.097,16.1571,16.2237,16.4157,16.4377,16.4633,16.4039,16.3087,16.4056,16.1192,16.1946,16.2333,16.1201,16.076,16.1156,16.3243,16.1608,16.2501,16.2211,16.3513,16.1455,16.0065,16.4047,16.0637,16.2478,16.1736,16.1563,16.0383,16.2762,16.1832,16.1109,16.0946,16.2443,16.1212,16.0649,16.2731,16.3248,16.0954,16.1714,16.4586,16.0379,16.1508,2026-08-17,432
2026-09-14,16.0767,16.4528,16.223,16.1069,16.0808,16.4708,16.1751,16.2467,16.1116,16.1702,16.2329,16.3705,16.4145,16.3937,16.3974,16.2933,16.3019,16.1857,16.2035,16.1523,16.1335,16.0537,16.0964,16.2841,16.0292,16.168,16.2625,16.4399,16.0342,15.9922,16.3345,16.1331,16.2084,16.2367,16.1123,16.0774,16.2937,16.1399,16.1142,16.2039,16.1907,16.0874,16.0287,16.3009,16.2931,16.0368,16.1224,16.4307,16.1447,16.1652,2026-08-17,432
2026-09-15,16.2084,16.4934,16.1358,16.0975,16.2008,16.3629,16.2392,16.1772,16.087,16.1553,16.2049,16.2689,16.2756,16.3934,16.3266,16.2036,16.1592,16.1778,16.1897,16.2267,16.1007,15.994,16.0792,16.1905,16.0636,16.1485,16.2351,16.3867,16.0662,16.0181,16.2943,16.1063,16.1348,16.3157,16.1006,16.151,16.272,16.0536,16.0804,16.2127,16.2316,16.2253,16.0526,16.3417,16.3502,15.9291,16.0264,16.4158,16.2065,16.108,2026-08-17,432
