date,t2m_mean,t2m_p5,t2m_p25,t2m_p50,t2m_p75,t2m_p95,init_date,n_members
2026-08-25,16.58842360029858,16.31114454509201,16.515058521150912,16.600515943825684,16.65955962674613,16.799980689246894,2026-08-06,50
2026-08-26,16.573746744387627,16.350874498993086,16.504230745389908,16.565029065816784,16.662408956487475,16.782482139593355,2026-08-06,50
2026-08-27,16.558009587620855,16.337809957276825,16.465393278513936,16.55083659860909,16.657813468724964,16.800185143503487,2026-08-06,50
2026-08-28,16.542409650391917,16.334773417004904,16.45862385224392,16.520882212463405,16.62777160281473,16.77574943714724,2026-08-06,50
2026-08-29,16.51080924576123,16.319967358877097,16.430383514540114,16.490329811615716,16.6012625336272,16.74429688156648,2026-08-06,50
2026-08-30,16.489996815113862,16.267829952173752,16.3912929138829,16.47494405492366,16.60691823364279,16.679207705722465,2026-08-06,50
2026-08-31,16.477559130948205,16.243541984328253,16.38813335251614,16.46934835592689,16.57366800591275,16.700298735074796,2026-08-06,50
2026-09-01,16.444100790556178,16.233143559325814,16.355142720018474,16.435956827219638,16.53472827713169,16.66091099632898,2026-08-06,50
2026-09-02,16.424049389070092,16.197612328288177,16.32775365831406,16.426591762568542,16.51018982038219,16.648754582327715,2026-08-06,50
2026-09-03,16.41814777449755,16.19253907695576,16.345848333713302,16.41353250345604,16.470512534407582,16.677582751636752,2026-08-06,50
2026-09-04,16.390119848407217,16.196819465277382,16.32237288358997,16.369467104855524,16.439494260249397,16.664616084739006,2026-08-06,50
2026-09-05,16.377871577066102,16.212669288373043,16.281516535091264,16.35395828712806,16.462001581719225,16.640663020157746,2026-08-06,50
2026-09-06,16.36049298676286,16.18712622708223,16.288801504780547,16.33036857582453,16.446565909364093,16.56676449343067,2026-08-06,50
2026-09-07,16.32199654277784,16.157787442912,16.250868240659564,16.284578518995286,16.407345707517848,16.51531338837851,2026-08-06,50
2026-09-08,16.306158955031435,16.123994481866948,16.20594847187781,16.302113110092897,16.414563614068506,16.46923939988796,2026-08-06,50
2026-09-09,16.297623496424215,16.09407616244941,16.20358756047957,16.301731049637255,16.389356123661898,16.477665358303078,2026-08-06,50
2026-09-10,16.27795801060576,16.083745904996647,16.18199249895851,16.250393450870746,16.402273548042043,16.468662537814904,2026-08-06,50
2026-09-11,16.25881812311294,16.076438233589673,16.162848728697604,16.233473499512236,16.356980716219898,16.470653984663606,2026-08-06,50
2026-09-12,16.232454234792737,16.07595434080562,16.14697632488535,16.213155606386962,16.31548905629412,16.440458910675368,2026-08-06,50
2026-09-13,16.212481348029264,16.039315600615428,16.1366539533673,16.2067295205981,16.278975376187084,16.399723497878995,2026-08-06,50
2026-09-14,16.18592886898029,15.982946242359292,16.10398288444744,16.182644770756845,16.26580898993641,16.378629482463307,2026-08-06,50
2026-09-15,16.162672190068704,15.950787516843144,16.052149241808173,16.173500625839832,16.25189277150893,16.421363509692895,2026-08-06,50
2026-09-16,16.130692304062038,15.924082384913035,16.037198386873452,16.118837407070906,16.218333976814947,16.38000734848558,2026-08-06,50
2026-09-17,16.105156675629786,15.912168285137827,16.004465912492847,16.097722035893867,16.183428829952202,16.319058821865838,2026-08-06,50
2026-09-18,16.074509031656678,15.866255550422382,15.96645818709476,16.062535013911727,16.160337515022576,16.312400643822556,2026-08-06,50
2026-09-19,16.06776627892449,15.86305125812858,15.982809776191814,16.051230812475737,16.160941095639963,16.30393473676359,2026-08-06,50
