date,nino34,tropics,nino12,nino3,nino4
1982-08-04,27.7876,26.2893,21.7244,26.0006,28.5733
1982-08-05,27.71,26.3076,21.6767,26.004,28.5593
1982-08-06,27.5968,26.2999,21.6866,26.0002,28.4982
1982-08-07,27.4886,26.2879,21.7898,25.9073,28.4637
1982-08-08,27.4716,26.2809,21.7309,25.8176,28.5117
1982-08-09,27.6021,26.2804,21.78,25.7679,28.7098
1982-08-10,27.6583,26.2726,21.9242,25.7782,28.7435
1982-08-11,27.8161,26.3011,22.1028,25.8118,29.0059
1982-08-12,27.958,26.3069,22.123,25.9169,29.0013
1982-08-13,28.0665,26.3135,22.0248,26.0089,28.9386
1982-08-14,28.2185,26.3164,21.9063,26.0963,28.8405
1982-08-15,28.1392,26.3284,21.8192,26.0906,28.6957
1982-08-16,28.1921,26.3223,21.7876,26.0613,28.8257
1982-08-17,28.1095,26.304,21.8539,25.9205,28.9271
1982-08-18,27.8293,26.2933,21.7649,25.7521,28.9378
1982-08-19,27.7293,26.3147,21.6851,25.7127,28.9357
1982-08-20,27.8603,26.3497,21.6907,25.8535,29.0695
1982-08-21,27.8624,26.368,21.611,25.8858,29.1048
1982-08-22,27.7891,26.3814,21.6212,25.9054,29.0052
1982-08-23,27.5637,26.373,21.6156,25.917,28.8036
1982-08-24,27.4421,26.3664,21.635,25.9218,28.6121
1982-08-25,27.3816,26.3559,21.4991,25.9533,28.5048
1982-08-26,27.3746,26.3553,21.4585,25.9369,28.5478
1982-08-27,27.509,26.3436,21.4698,25.9216,28.6532
1982-08-28,27.6034,26.3303,21.5149,25.8738,28.6622
1982-08-29,27.6264,26.32,21.4313,25.8786,28.5875
1982-08-30,27.6249,26.336,21.3051,25.8816,28.5536
1982-08-31,27.45,26.3479,21.462,25.8687,28.4394
1982-09-01,27.2266,26.3514,21.5695,25.8236,28.3383
1982-09-02,27.1226,26.3607,21.5604,25.72,28.4088
1982-09-03,27.0208,26.3586,21.6531,25.6208,28.4761
1982-09-04,27.0098,26.3644,21.9595,25.6226,28.4749
1982-09-05,27.1846,26.3938,22.2051,25.7835,28.4817
1982-09-06,27.3789,26.4275,22.183,25.9955,28.5257
1982-09-07,27.6754,26.4512,22.0115,26.1605,28.8115
1982-09-08,27.8363,26.4694,21.9891,26.2813,29.0597
1982-09-09,27.8824,26.4798,21.9227,26.3314,29.1877
1982-09-10,27.9067,26.4608,22.0824,26.3167,29.2323
1982-09-11,27.8884,26.4456,22.1139,26.2578,29.3041
