year,month,global_mean,global_min,global_max,global_anomaly,africa_mean,africa_min,africa_max,africa_anomaly,antarctica_mean,antarctica_min,antarctica_max,antarctica_anomaly,asia_mean,asia_min,asia_max,asia_anomaly,europe_mean,europe_min,europe_max,europe_anomaly,north_america_mean,north_america_min,north_america_max,north_america_anomaly,oceania_mean,oceania_min,oceania_max,oceania_anomaly,south_america_mean,south_america_min,south_america_max,south_america_anomaly,usa_mean,usa_min,usa_max,usa_anomaly,china_mean,china_min,china_max,china_anomaly,india_mean,india_min,india_max,india_anomaly,australia_mean,australia_min,australia_max,australia_anomaly,eu_mean,eu_min,eu_max,eu_anomaly,russia_mean,russia_min,russia_max,russia_anomaly,brazil_mean,brazil_min,brazil_max,brazil_anomaly
2019,11,13.775336403800106,-43.141556,34.65335,0.4048821491779133,23.202237341400632,-3.1903992,33.641632,0.7723642275002334,-12.038657899073929,-43.141556,4.028351,0.6403775315154743,10.040169673540252,-32.93843,33.641632,0.2825774198723589,5.426542932089052,-15.58493,22.334991,0.3284915080581392,11.950051668843532,-31.348587,30.192413,0.6802326483738401,22.22568872695326,4.0224915,34.65335,0.1597192107896994,20.72602137340448,-3.9501648,32.07132,0.4634843520110614,10.049263472872015,-9.299774,26.083038,-0.6201308195969659,5.990394366070986,-23.59468,28.204132,0.4099837922851232,17.583999630490574,-22.666946,28.608429,0.78236308125501,23.220449343808315,6.06546,34.65335,0.1090606563206151,7.560727145584141,-10.588837,22.334991,0.6579483198940954,-7.503916027309886,-32.93843,18.104523,0.1677156223655052,24.35720930343014,-3.9501648,32.07132,0.5390677146023037
2019,12,13.20470307173404,-45.44728,36.707,0.5391466565144896,22.05857083747195,-5.816437,31.662079,0.5581004182325593,-7.645190434021884,-35.798843,5.5292664,0.8297934918332261,6.668917979397499,-45.44728,31.662079,0.7053624722489769,3.8735871886216153,-15.964874,17.501923,2.379526775216984,9.014935882344323,-35.800797,31.076141,0.6219403705221058,23.90216667852577,5.851532,36.707,0.8988415802935528,21.189424562273626,0.35153198,31.748016,0.2226890489385447,7.596967157940447,-13.847687,25.15622,0.9579725076859616,0.461193955655058,-32.22853,27.208954,0.337714730269657,13.58894105516864,-31.535172,28.980438,-0.5830679934082088,26.13387529002244,9.832001,36.707,1.8097006801031408,5.852107854017546,-8.404327,17.501923,2.041769008496684,-12.139260196989868,-45.44728,13.476532,1.342940090057937,24.442392409531497,0.47653198,31.748016,0.2400078534247463
2020,1,13.023134075850896,-47.9001,34.37137,0.5813985865056299,21.737287008011013,-9.909882,31.699493,0.2790607927854545,-7.251520821368516,-35.87471,6.242462,0.6758499580177357,5.800866931742698,-46.402054,31.209259,1.3080306757101097,2.50368595733708,-19.333694,15.943634,2.5892341047656826,7.368353506172986,-47.9001,31.44168,0.4698293582978579,23.972419856382327,6.2131653,34.37137,0.3275534828603064,21.824389828461,0.76394653,31.588165,0.3228172863401042,6.888822524726556,-15.636444,23.963165,1.656618435648995,-0.3420530239628528,-30.445023,25.851837,1.2483547097962708,12.878840973854333,-30.445023,29.709259,-0.2796684615650484,25.506158960561887,10.992462,34.37137,0.386153480049149,4.600729868838538,-11.638397,15.943634,2.110170826871936,-12.485780693779477,-46.402054,9.85965,2.9048890358452617,24.815788745712503,0.76394653,31.588165,0.4455483675908596
2020,2,13.328617352486328,-48.13817,35.373566,0.5991041885468871,23.02669823683032,-6.265106,32.72513,0.5293016331422677,-9.988694803449098,-46.060043,6.656769,0.6810469440381457,7.257352246562799,-40.747543,32.223175,1.543739920405991,3.41656679500733,-13.638153,16.814972,3.081867657892462,7.350981258033334,-48.13817,32.262238,0.209220876588529,24.06165775561031,7.000519,35.373566,0.4053408214015803,21.82797005905196,1.0532532,32.262238,0.2523715936628186,7.118750755794413,-14.091278,24.152863,0.6767131996480105,2.558538951090104,-26.58934,27.57669,1.221397944884979,14.911637257702926,-26.58934,30.424347,-0.1956691335897851,25.160577269376628,10.693878,35.373566,0.3336756344932006,5.233273407266413,-10.247528,16.814972,2.5021516550704126,-10.370159885770608,-40.747543,9.383331,3.400249983404052,24.593140025492367,2.035675,30.76419,0.2862368611017416
2020,3,13.8967219160359,-58.71985,34.149292,0.4876411237292668,24.15328249411624,-1.5518799,34.149292,0.4601436697350998,-14.899573761296567,-58.71985,5.4832764,0.0466910442623564,10.49375812506504,-30.524536,33.682495,1.2539380306774994,5.594629480388018,-12.126099,17.211792,1.9469512737835548,9.034488690612845,-41.9093,32.932495,0.3088644888780081,23.3833481572358,6.463745,33.80359,0.2627584784020236,21.824784433593823,0.061401367,32.932495,0.5804198372619886,10.967682348759473,-9.391724,26.450073,1.3283177131755686,7.57734944100001,-22.272583,30.237183,1.0098407744456148,17.84732221606296,-22.272583,31.899292,-0.3846121074904793,24.08429452505766,9.0321045,33.80359,0.2478441657733583,6.337495372032,-8.778442,16.553589,1.1711263575599835,-5.4789808050688285,-30.524536,12.864136,2.495311450408616,24.558521403267168,0.061401367,31.225464,0.5335125351166674
2020,4,14.881940873783153,-58.74269,36.726044,0.5202658652431023,24.966353542636423,1.5678406,36.726044,0.4721958407687872,-16.87919895704372,-58.74269,4.4389343,1.5254645595086558,14.305785117466408,-19.699722,35.216278,0.6547870120731716,8.218645535687646,-9.89505,22.632294,0.0082895890441232,12.07840877163503,-26.521988,33.558075,0.3771294087494663,22.48831997931557,3.2983093,31.374481,0.4373635807792055,20.610738728817413,-2.7309875,32.347137,0.2854938028902936,13.399067316927445,-4.723175,28.093231,-0.0571036390409709,12.867567691059833,-17.855972,34.345184,0.2843652674968897,21.05987652112325,-17.855972,35.02487,-0.265383621828537,22.539941806630065,6.558075,31.374481,0.591225768153194,8.871977788936109,-6.1235657,21.61081,0.2023864143087959,1.2454259050713554,-19.699722,23.056122,1.7567572010997483,23.28305199467819,-2.7309875,30.583466,0.0298501022359509
2020,5,15.727562703728765,-61.755432,38.18402,0.4658072319103148,25.3921149961244,3.949646,38.18402,0.5289069316086845,-19.155763829857968,-61.755432,4.3930054,1.302495948728783,18.462780158523778,-14.706604,37.180115,0.8399242540470837,12.970811880186918,-2.4155884,29.853943,-0.0209632561851407,15.336755147884496,-19.84137,32.869568,0.2870024545893805,20.52116370148683,1.8578491,29.338318,-0.0559811570075226,19.352235120943902,-5.9448853,32.869568,0.2395431403956571,17.778595408855242,0.93011475,30.443787,0.1182193477489299,17.78032457606991,-14.706604,36.555115,0.6270652762555109,23.28821801640759,-14.706604,36.555115,-0.104053129685532,18.640287264996537,4.1176147,28.449646,-0.6132276291887635,12.393635123784753,-1.8706665,26.84613,-0.2942202326331777,7.849549142552634,-10.599182,28.47699,1.4108378662475063,21.972438722242227,-5.9448853,28.363708,-0.0617729853552475
2020,6,16.343060371030404,-65.33069,40.70642,0.3600916767481781,25.112346871689045,1.0345459,38.944702,0.4458285946156657,-21.33103029668433,-65.33069,2.862671,0.4204799179990033,21.3303641732187,-10.637329,40.70642,0.5284873972280231,17.782917043671798,1.3782959,34.98767,0.6794130101727021,18.43939939228055,-12.254517,33.18689,0.4123595903992942,19.677170082217422,-0.869751,28.807983,0.4211869094427847,18.564129167211483,-16.541626,30.458374,0.4075216064246341,22.002073144054982,5.364624,33.18689,0.4939969023326505,20.67594316306001,-10.637329,37.003296,0.0917524190562062,23.7828124822562,-10.637329,39.059937,-0.1398566404983903,17.591937298394534,2.770874,27.882202,0.4675862269543422,17.128387415157754,1.380249,30.954468,0.7338504025448778,13.175672023597112,-7.617798,31.257202,0.7291528537598104,21.579545758290696,-16.541626,28.208374,0.3632994488709613
2020,7,16.554217797636333,-61.553085,41.69693,0.3244780138837448,24.61712071495152,1.9273987,41.69693,0.2882585022064567,-22.216465005374705,-61.553085,2.761383,1.1525326937233409,22.681094908901777,-7.5159607,41.69693,0.4380026197265962,20.082856939575123,3.105133,39.044586,0.4258783678159688,20.424887068072145,-9.004242,37.43521,0.6024928573417583,19.02529472987908,-2.3616638,28.903961,0.3772099084932954,17.69320747741679,-16.892914,30.667633,-0.0083318390616824,24.43306107239506,8.876617,37.43521,0.7378260307834559,22.276157419667616,-7.5159607,35.32779,0.1483852607903877,24.044726056677845,-7.5159607,38.456696,0.4238462010034034,16.739670630061966,2.3512268,26.97818,0.258766169915539,18.810906798783705,3.105133,35.851227,-0.0772391822944165,15.798437685241318,-4.597992,33.05435,0.5861058332991593,21.11609378960196,-16.892914,28.814117,0.2062976014938264
2020,8,16.378103387687144,-64.48874,39.728058,0.2662500857471563,24.50300176991155,2.792511,39.728058,0.1889654559791367,-24.22453158997486,-64.48874,1.8432922,-0.6748457074900358,22.167365915998136,-5.816864,39.700714,0.4295618312335953,19.339746465894287,4.7378235,36.181183,0.178554173326237,20.60514757304988,-11.32077,37.687042,0.6837838291436427,19.291842039759928,0.08938599,29.386261,0.4437393856307423,18.471942007617585,-14.369598,30.837433,0.2079643734745282,24.31721303957771,11.247589,37.687042,0.958961257809932,21.67668652765088,-5.816864,33.44095,0.3777020097848513,23.790368241709483,-5.816864,35.263214,0.6137842010685439,17.620368760519035,1.9526672,27.474152,0.3705875241731853,19.30056876066116,4.7378235,33.86673,0.5136610840848661,14.46844450868067,-3.5629578,32.470245,0.4548531386739309,22.092649240063032,-14.369598,29.96048,0.2662209070260957
