date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-08-21,16.5071,16.6573,16.7693,16.859,16.7283,16.7517,16.6768,16.594,16.6029,16.7116,16.784,16.6004,16.894,16.5528,16.5717,16.5287,16.5787,16.6957,16.688,16.5837,16.5172,16.5982,16.7789,16.7666,16.4323,16.5911,16.6562,16.5242,16.6983,16.7775,16.5183,16.5728,16.8009,16.4079,16.8193,16.5566,16.4075,16.6615,16.5399,16.6536,16.6299,16.7188,16.8773,16.6616,16.6499,16.4158,16.5629,16.731,16.6516,16.4311,2026-08-11,432
2026-08-22,16.5411,16.669,16.7154,16.8058,16.6952,16.6966,16.6663,16.6253,16.5771,16.8043,16.8402,16.5577,16.8074,16.6285,16.5005,16.5504,16.6783,16.6901,16.6469,16.6375,16.6233,16.5549,16.793,16.781,16.4689,16.6025,16.7482,16.5315,16.6746,16.869,16.5106,16.6471,16.8281,16.473,16.8693,16.5143,16.4842,16.6804,16.5283,16.6646,16.6497,16.7217,16.8253,16.6346,16.6466,16.3165,16.5773,16.6873,16.7507,16.4458,2026-08-11,432
2026-08-23,16.5243,16.6431,16.606,16.7457,16.6237,16.6383,16.5819,16.5685,16.5092,16.799,16.7877,16.5182,16.6728,16.6563,16.5113,16.5771,16.7804,16.7768,16.648,16.5929,16.5748,16.5446,16.8,16.7206,16.3975,16.6435,16.6964,16.4259,16.712,16.832,16.476,16.6592,16.7735,16.4805,16.7972,16.6078,16.4388,16.5863,16.5104,16.6479,16.6774,16.6336,16.6394,16.5354,16.62,16.3256,16.6113,16.6815,16.7178,16.467,2026-08-11,432
2026-08-24,16.4712,16.6889,16.6138,16.6279,16.5733,16.6012,16.5356,16.5736,16.4852,16.8788,16.7701,16.5095,16.6794,16.6775,16.5358,16.5402,16.7629,16.6755,16.6669,16.6553,16.5684,16.6258,16.747,16.7277,16.4145,16.6021,16.6956,16.4603,16.7644,16.8424,16.5394,16.5612,16.6942,16.4513,16.7254,16.6272,16.5623,16.5308,16.494,16.6822,16.7216,16.5437,16.6244,16.5146,16.5585,16.2639,16.4845,16.6826,16.7067,16.4964,2026-08-11,432
2026-08-25,16.5902,16.6662,16.6727,16.6466,16.7283,16.6481,16.6039,16.4751,16.4464,16.8756,16.7034,16.4075,16.7245,16.7129,16.6176,16.5366,16.6959,16.688,16.7119,16.595,16.5742,16.5888,16.6969,16.7245,16.384,16.5889,16.8231,16.4402,16.7584,16.7473,16.5,16.5256,16.6047,16.4125,16.7678,16.5939,16.5752,16.5604,16.6162,16.6549,16.6104,16.5385,16.576,16.4952,16.4297,16.2663,16.4932,16.6622,16.6709,16.4956,2026-08-11,432
2026-08-26,16.6399,16.6849,16.7099,16.6013,16.7843,16.6317,16.6294,16.4862,16.437,16.875,16.6724,16.475,16.7377,16.7933,16.5758,16.55,16.5995,16.6043,16.7623,16.6723,16.4815,16.5659,16.6113,16.6461,16.4142,16.5377,16.7556,16.4593,16.5993,16.7347,16.5682,16.5542,16.5508,16.4954,16.6912,16.5336,16.48,16.5657,16.5326,16.6525,16.6522,16.5438,16.5396,16.5141,16.4196,16.2292,16.4639,16.5759,16.6659,16.4165,2026-08-11,432
2026-08-27,16.615,16.6673,16.785,16.5861,16.7872,16.6629,16.6138,16.5546,16.371,16.8267,16.6418,16.4434,16.7357,16.8155,16.5946,16.5215,16.5505,16.5881,16.8073,16.6738,16.4236,16.6333,16.5416,16.5304,16.5013,16.5574,16.6591,16.5294,16.6235,16.7511,16.5838,16.5487,16.556,16.4903,16.7209,16.5573,16.4729,16.513,16.6269,16.6721,16.6648,16.5916,16.4757,16.5089,16.4407,16.1743,16.4496,16.6011,16.6561,16.4305,2026-08-11,432
2026-08-28,16.7038,16.6468,16.7665,16.5709,16.7464,16.5573,16.5884,16.628,16.3916,16.8201,16.5843,16.4323,16.6553,16.7835,16.6701,16.5575,16.6117,16.6014,16.8596,16.6503,16.4269,16.5922,16.4968,16.555,16.4863,16.5522,16.5983,16.4911,16.5805,16.7811,16.5217,16.553,16.5687,16.3871,16.602,16.526,16.5879,16.4823,16.5838,16.593,16.6294,16.5867,16.4611,16.5213,16.3665,16.2171,16.4337,16.5836,16.6654,16.4764,2026-08-11,432
2026-08-29,16.6378,16.5646,16.772,16.5847,16.6775,16.6679,16.6232,16.6249,16.4897,16.8358,16.5137,16.4533,16.6637,16.8216,16.7304,16.5206,16.6503,16.5763,16.8902,16.6287,16.4402,16.5838,16.5132,16.5774,16.5364,16.5656,16.4761,16.564,16.525,16.7656,16.6005,16.5803,16.69,16.4361,16.5134,16.4,16.6826,16.5505,16.5067,16.578,16.5947,16.4721,16.4851,16.4144,16.4099,16.3098,16.4658,16.5221,16.6916,16.4655,2026-08-11,432
2026-08-30,16.6245,16.4254,16.8115,16.6175,16.6948,16.6257,16.6753,16.6707,16.5424,16.7743,16.4686,16.4521,16.6152,16.8388,16.6707,16.4402,16.5414,16.5836,16.8774,16.6947,16.3345,16.6372,16.4484,16.561,16.4971,16.5743,16.4794,16.5789,16.5058,16.7524,16.7507,16.5804,16.6557,16.4937,16.5481,16.3069,16.6404,16.5244,16.5194,16.5098,16.5687,16.2998,16.4367,16.529,16.3646,16.367,16.4101,16.5401,16.6962,16.4806,2026-08-11,432
