source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.6288,0.8464,1.7824,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,1.0534,0.617,0.4364,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4381,0.7169,0.7212,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.1546,0.7836,1.371,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.6913,0.8826,1.8087,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.8491,0.8405,2.0087,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.2795,0.819,2.4606,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.3522,0.8782,2.474,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.0311,0.8852,2.1459,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.5599,1.0681,1.4918,ens_009,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,1.0417,0.6111,0.4306,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4423,0.7468,0.6955,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.6029,0.9539,1.649,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,3.078,1.0614,2.0165,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.7481,1.0087,1.7393,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.0944,0.9985,2.0959,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.1468,1.093,2.0538,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.9878,0.9975,1.9903,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.5858,1.0779,1.5079,ens_010,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9925,0.6181,0.3744,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.1919,0.6466,0.5453,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.8292,0.7985,1.0306,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.0902,0.9805,1.1098,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.3281,0.9658,1.3623,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.5778,1.1422,1.4356,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.1784,1.0779,2.1005,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.1365,1.1941,1.9425,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.3556,1.2183,1.1373,ens_011,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,1.0049,0.6227,0.3822,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2527,0.699,0.5537,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.697,0.7577,0.9394,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.9407,0.8615,1.0791,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,1.8508,0.8693,0.9815,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.1571,0.9089,1.2482,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,1.9701,0.881,1.0892,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,1.6861,0.8969,0.7892,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,1.4057,0.7242,0.6815,ens_012,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9375,0.6414,0.2961,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2743,0.7215,0.5528,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.6121,0.7691,0.843,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.8838,0.8676,1.0162,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.3126,0.981,1.3316,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.5289,1.0243,1.5045,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.9516,1.0491,1.9025,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.7375,1.1251,1.6124,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.2522,1.2395,1.0127,ens_013,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,1.0021,0.5955,0.4066,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.3407,0.7351,0.6055,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.3375,0.8737,1.4638,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.9208,1.0032,1.9176,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.8726,0.928,1.9446,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.2497,0.9205,2.3292,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.3785,1.1278,2.2506,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.211,1.0971,2.1139,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.6918,1.129,1.5628,ens_014,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9919,0.6625,0.3294,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2699,0.6489,0.621,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.7805,0.8071,0.9735,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.1654,0.8903,1.2751,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.4585,0.9035,1.555,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.6708,0.9695,1.7014,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.1953,0.9699,2.2253,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,3.137,1.075,2.062,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.5434,1.1137,1.4297,ens_015,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9422,0.6866,0.2556,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.1875,0.7864,0.401,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.6833,0.7897,0.8935,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.1505,0.9713,1.1793,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.2778,1.0001,1.2776,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.4129,1.0095,1.4034,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.7116,1.0133,1.6983,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.6927,1.004,1.6887,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.7628,0.9639,1.7989,ens_016,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9293,0.6572,0.2721,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4109,0.7675,0.6434,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.2502,0.9294,1.3208,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.4519,1.0013,1.4506,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.7355,1.0113,1.7242,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,3.2124,0.9982,2.2143,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.2487,1.0388,2.2099,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.946,1.0351,1.9109,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.7323,1.0035,1.7288,ens_017,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9453,0.6559,0.2894,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.4348,0.8427,0.5921,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.8214,0.8723,0.9491,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.4354,0.9622,1.4732,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.7187,0.9577,1.7611,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.9467,0.9613,1.9853,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,3.0753,0.9376,2.1377,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.6747,1.0508,1.6239,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.4072,0.9866,1.4206,ens_018,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.899,0.6345,0.2644,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.5087,0.7216,0.7871,ens_019,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.2496,0.8015,1.4481,ens_019,monthly,model-specific
