source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.3554062843322754,ens_E3_007,5,monthly,1991-2020,2.734099864959717,0.6213064193725586
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.6004626750946045,ens_E3_007,6,monthly,1991-2020,2.970942258834839,0.6295204162597656
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.441046714782715,ens_E3_007,7,monthly,1991-2020,2.808696985244751,0.6323497295379639
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.9055228233337402,ens_E3_007,8,monthly,1991-2020,2.169532537460327,0.7359902858734131
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.453770875930786,ens_E3_007,9,monthly,1991-2020,1.660556435585022,0.7932144403457642
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.360632061958313,ens_E3_008,1,monthly,1991-2020,0.9734951257705688,0.38713693618774414
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.009511947631836,ens_E3_008,2,monthly,1991-2020,1.5381555557250977,0.4713563919067383
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.586427927017212,ens_E3_008,3,monthly,1991-2020,2.009706497192383,0.5767214298248291
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.461838722229004,ens_E3_008,4,monthly,1991-2020,2.892544984817505,0.569293737411499
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.6578893661499023,ens_E3_008,5,monthly,1991-2020,3.083202362060547,0.5746870040893555
CFS,CFSv2,dynamical,2026-05-14,2026-11,4.109732627868652,ens_E3_008,6,monthly,1991-2020,3.5059702396392822,0.6037623882293701
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.8165271282196045,ens_E3_008,7,monthly,1991-2020,3.2014098167419434,0.6151173114776611
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.944441795349121,ens_E3_008,8,monthly,1991-2020,2.1528842449188232,0.7915575504302979
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.79001522064209,ens_E3_008,9,monthly,1991-2020,2.098304510116577,0.6917107105255127
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.2947542667388916,ens_E3_009,1,monthly,1991-2020,0.9277418851852417,0.3670123815536499
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.008000612258911,ens_E3_009,2,monthly,1991-2020,1.539584994316101,0.46841561794281006
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.7477221488952637,ens_E3_009,3,monthly,1991-2020,2.2095305919647217,0.538191556930542
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.057767152786255,ens_E3_009,4,monthly,1991-2020,2.4238452911376953,0.6339218616485596
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.405224084854126,ens_E3_009,5,monthly,1991-2020,2.7373552322387695,0.6678688526153564
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.515040874481201,ens_E3_009,6,monthly,1991-2020,2.7650609016418457,0.7499799728393555
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.3009917736053467,ens_E3_009,7,monthly,1991-2020,2.5087764263153076,0.7922153472900391
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.8803391456604004,ens_E3_009,8,monthly,1991-2020,2.059386968612671,0.8209521770477295
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.3382458686828613,ens_E3_009,9,monthly,1991-2020,1.5317573547363281,0.8064885139465332
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.4509577751159668,ens_E3_010,1,monthly,1991-2020,1.0409163236618042,0.4100414514541626
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.3655593395233154,ens_E3_010,2,monthly,1991-2020,1.7477855682373047,0.6177737712860107
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.9559884071350098,ens_E3_010,3,monthly,1991-2020,2.3745994567871094,0.5813889503479004
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.260817527770996,ens_E3_010,4,monthly,1991-2020,2.6143343448638916,0.6464831829071045
CFS,CFSv2,dynamical,2026-05-14,2026-10,4.117837429046631,ens_E3_010,5,monthly,1991-2020,3.331667423248291,0.7861700057983398
CFS,CFSv2,dynamical,2026-05-14,2026-11,4.122690677642822,ens_E3_010,6,monthly,1991-2020,3.335270881652832,0.7874197959899902
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.677088737487793,ens_E3_010,7,monthly,1991-2020,2.8229148387908936,0.8541738986968994
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.87239146232605,ens_E3_010,8,monthly,1991-2020,1.9852343797683716,0.8871570825576782
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.5613999366760254,ens_E3_010,9,monthly,1991-2020,1.7544951438903809,0.8069047927856445
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.46470308303833,ens_E3_011,1,monthly,1991-2020,1.0555676221847534,0.40913546085357666
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.1968703269958496,ens_E3_011,2,monthly,1991-2020,1.8118553161621094,0.38501501083374023
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.7411484718322754,ens_E3_011,3,monthly,1991-2020,2.3175859451293945,0.42356252670288086
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.1047587394714355,ens_E3_011,4,monthly,1991-2020,2.6982738971710205,0.40648484230041504
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.5704123973846436,ens_E3_011,5,monthly,1991-2020,3.0713655948638916,0.49904680252075195
CFS,CFSv2,dynamical,2026-05-14,2026-11,4.36625862121582,ens_E3_011,6,monthly,1991-2020,3.8237032890319824,0.5425553321838379
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.642735481262207,ens_E3_011,7,monthly,1991-2020,2.990499973297119,0.6522355079650879
CFS,CFSv2,dynamical,2026-05-14,2027-01,3.0709266662597656,ens_E3_011,8,monthly,1991-2020,2.3062751293182373,0.7646515369415283
CFS,CFSv2,dynamical,2026-05-14,2027-02,3.156376600265503,ens_E3_011,9,monthly,1991-2020,2.4172630310058594,0.7391135692596436
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.4047961235046387,ens_E3_012,1,monthly,1991-2020,1.0093921422958374,0.39540398120880127
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.290262460708618,ens_E3_012,2,monthly,1991-2020,1.7696940898895264,0.5205683708190918
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.8168811798095703,ens_E3_012,3,monthly,1991-2020,2.266960620880127,0.5499205589294434
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.0748960971832275,ens_E3_012,4,monthly,1991-2020,2.6086151599884033,0.4662809371948242
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.5159873962402344,ens_E3_012,5,monthly,1991-2020,3.039745330810547,0.4762420654296875
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.980928421020508,ens_E3_012,6,monthly,1991-2020,3.4687793254852295,0.5121490955352783
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.702223539352417,ens_E3_012,7,monthly,1991-2020,3.0803918838500977,0.6218316555023193
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.757105827331543,ens_E3_012,8,monthly,1991-2020,1.865321397781372,0.8917844295501709
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.2087926864624023,ens_E3_012,9,monthly,1991-2020,1.4630361795425415,0.7457565069198608
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.4003204107284546,ens_E3_013,1,monthly,1991-2020,0.9765487909317017,0.42377161979675293
CFS,CFSv2,dynamical,2026-05-14,2026-07,1.6999139785766602,ens_E3_013,2,monthly,1991-2020,1.2173442840576172,0.48256969451904297
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.3443655967712402,ens_E3_013,3,monthly,1991-2020,1.8403841257095337,0.5039814710617065
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.690783977508545,ens_E3_013,4,monthly,1991-2020,2.0445680618286133,0.6462159156799316
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.374117136001587,ens_E3_013,5,monthly,1991-2020,2.818727731704712,0.555389404296875
CFS,CFSv2,dynamical,2026-05-14,2026-11,4.010972023010254,ens_E3_013,6,monthly,1991-2020,3.4621787071228027,0.5487933158874512
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.676306962966919,ens_E3_013,7,monthly,1991-2020,3.076963424682617,0.5993435382843018
CFS,CFSv2,dynamical,2026-05-14,2027-01,3.151240825653076,ens_E3_013,8,monthly,1991-2020,2.3421647548675537,0.8090760707855225
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.926363468170166,ens_E3_013,9,monthly,1991-2020,2.0969362258911133,0.8294272422790527
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.4289120435714722,ens_E3_014,1,monthly,1991-2020,1.0441638231277466,0.3847482204437256
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.2801084518432617,ens_E3_014,2,monthly,1991-2020,1.9254264831542969,0.35468196868896484
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.7907001972198486,ens_E3_014,3,monthly,1991-2020,2.3958075046539307,0.39489269256591797
