source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.549831748008728,ens_E3_009,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.326845407485962,ens_E3_009,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.8262341022491455,ens_E3_009,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,3.0089328289031982,ens_E3_009,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.056979179382324,ens_E3_009,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,3.007643222808838,ens_E3_009,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.5936810970306396,ens_E3_009,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8489664793014526,ens_E3_010,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.3639953136444092,ens_E3_010,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.9923036098480225,ens_E3_010,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.4945056438446045,ens_E3_010,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.820586681365967,ens_E3_010,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.9619812965393066,ens_E3_010,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.0736918449401855,ens_E3_010,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.8774847984313965,ens_E3_010,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.513775110244751,ens_E3_010,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.9127295017242432,ens_E3_011,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.420905351638794,ens_E3_011,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.093684434890747,ens_E3_011,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.0779716968536377,ens_E3_011,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.3581905364990234,ens_E3_011,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.558668851852417,ens_E3_011,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.6888463497161865,ens_E3_011,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.691255569458008,ens_E3_011,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.128091335296631,ens_E3_011,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,1.0267077684402466,ens_E3_012,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.413257122039795,ens_E3_012,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.8421661853790283,ens_E3_012,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.905716896057129,ens_E3_012,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.8949463367462158,ens_E3_012,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.251366138458252,ens_E3_012,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.3426382541656494,ens_E3_012,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.2828519344329834,ens_E3_012,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.1952967643737793,ens_E3_012,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.7943311333656311,ens_E3_013,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.3835735321044922,ens_E3_013,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.7487739324569702,ens_E3_013,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.7843934297561646,ens_E3_013,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.346346616744995,ens_E3_013,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.838217258453369,ens_E3_013,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.631742000579834,ens_E3_013,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.517516851425171,ens_E3_013,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.0319809913635254,ens_E3_013,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8499722480773926,ens_E3_014,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.347604513168335,ens_E3_014,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.8299471139907837,ens_E3_014,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.9632240533828735,ens_E3_014,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.5516624450683594,ens_E3_014,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.613788366317749,ens_E3_014,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.8634233474731445,ens_E3_014,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.366645574569702,ens_E3_014,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.558746337890625,ens_E3_014,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8310727477073669,ens_E3_015,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.4664716720581055,ens_E3_015,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.8808423280715942,ens_E3_015,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.133173704147339,ens_E3_015,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.2374181747436523,ens_E3_015,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.9415526390075684,ens_E3_015,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.5152323246002197,ens_E3_015,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.7314248085021973,ens_E3_015,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.2968857288360596,ens_E3_015,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8445034027099609,ens_E3_016,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.2488553524017334,ens_E3_016,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.7435517311096191,ens_E3_016,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.9669939279556274,ens_E3_016,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.1141304969787598,ens_E3_016,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.458587169647217,ens_E3_016,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.5290868282318115,ens_E3_016,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.4186155796051025,ens_E3_016,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.7944246530532837,ens_E3_016,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.848544180393219,ens_E3_017,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.6670215129852295,ens_E3_017,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.4568145275115967,ens_E3_017,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.944328784942627,ens_E3_017,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,3.0117814540863037,ens_E3_017,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,3.1141085624694824,ens_E3_017,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.2956504821777344,ens_E3_017,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.734358549118042,ens_E3_017,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.1452739238739014,ens_E3_017,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.7833003997802734,ens_E3_018,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.45354163646698,ens_E3_018,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.2105021476745605,ens_E3_018,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.094660758972168,ens_E3_018,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.6856963634490967,ens_E3_018,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.2037405967712402,ens_E3_018,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.8458383083343506,ens_E3_018,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.5533552169799805,ens_E3_018,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.0458099842071533,ens_E3_018,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8564968705177307,ens_E3_019,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.5205613374710083,ens_E3_019,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.1693389415740967,ens_E3_019,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.532146453857422,ens_E3_019,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,3.035310983657837,ens_E3_019,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,3.3103926181793213,ens_E3_019,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.3925397396087646,ens_E3_019,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.814736843109131,ens_E3_019,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.6749985218048096,ens_E3_019,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,1.030327558517456,ens_E3_020,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.5371266603469849,ens_E3_020,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.2816216945648193,ens_E3_020,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.263155698776245,ens_E3_020,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.4441797733306885,ens_E3_020,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.803183078765869,ens_E3_020,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.105631113052368,ens_E3_020,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.802927255630493,ens_E3_020,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.4491796493530273,ens_E3_020,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8670483827590942,ens_E3_021,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.3998395204544067,ens_E3_021,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.8336108922958374,ens_E3_021,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.2142281532287598,ens_E3_021,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.031100273132324,ens_E3_021,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.386453151702881,ens_E3_021,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.584364414215088,ens_E3_021,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.531841993331909,ens_E3_021,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.328228712081909,ens_E3_021,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.6273431777954102,ens_E3_022,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.1944020986557007,ens_E3_022,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.5513176918029785,ens_E3_022,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.600454330444336,ens_E3_022,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.8072755336761475,ens_E3_022,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,1.9652373790740967,ens_E3_022,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.673522710800171,ens_E3_022,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.2859838008880615,ens_E3_022,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.0961079597473145,ens_E3_022,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.6474629640579224,ens_E3_023,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.2441679239273071,ens_E3_023,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.893005132675171,ens_E3_023,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.129669666290283,ens_E3_023,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.44994854927063,ens_E3_023,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.894023895263672,ens_E3_023,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.3240506649017334,ens_E3_023,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.6779086589813232,ens_E3_023,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.8973735570907593,ens_E3_023,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.7207627892494202,ens_E3_024,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.009998083114624,ens_E3_024,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.352444052696228,ens_E3_024,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.7260844707489014,ens_E3_024,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.8367481231689453,ens_E3_024,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.287447690963745,ens_E3_024,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.300999879837036,ens_E3_024,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,1.938165545463562,ens_E3_024,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.084568977355957,ens_E3_024,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.7735452055931091,ens_E3_025,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.1099512577056885,ens_E3_025,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.541907548904419,ens_E3_025,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.4293426275253296,ens_E3_025,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.6768633127212524,ens_E3_025,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.2669310569763184,ens_E3_025,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.3802168369293213,ens_E3_025,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.245868444442749,ens_E3_025,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.118128776550293,ens_E3_025,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.5241150856018066,ens_E3_026,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.250060796737671,ens_E3_026,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.7580324411392212,ens_E3_026,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.8376045227050781,ens_E3_026,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.063952922821045,ens_E3_026,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.300323963165283,ens_E3_026,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.4951562881469727,ens_E3_026,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.335831880569458,ens_E3_026,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.9738115072250366,ens_E3_026,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.6290721893310547,ens_E3_027,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.1300034523010254,ens_E3_027,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.6437242031097412,ens_E3_027,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.6525230407714844,ens_E3_027,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.6836485862731934,ens_E3_027,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,1.8172000646591187,ens_E3_027,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,1.8652307987213135,ens_E3_027,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,1.640966534614563,ens_E3_027,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.6106898784637451,ens_E3_027,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.9079042673110962,ens_E3_028,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.432103157043457,ens_E3_028,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,2.117152690887451,ens_E3_028,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.0764875411987305,ens_E3_028,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.0158488750457764,ens_E3_028,5,monthly,1991-2020
