source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
IRI,UCLA-TCD,statistical,2026-04-01,2027-01,9,1.62,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-05,1,0.78,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-06,2,1.12,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-07,3,1.33,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-08,4,1.49,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-09,5,1.65,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-10,6,1.82,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-11,7,1.95,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2026-12,8,1.97,mean,seasonal_3mo,varies
IRI,UW PSL-CSLIM,statistical,2026-04-01,2027-01,9,1.84,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-05,1,0.73,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-06,2,1.1,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-07,3,1.41,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-08,4,1.62,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-09,5,1.73,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-10,6,1.75,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-11,7,1.7,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2026-12,8,1.61,mean,seasonal_3mo,varies
IRI,UW PSL-LIM,statistical,2026-04-01,2027-01,9,1.48,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-05,1,0.29,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-06,2,0.51,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-07,3,0.74,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-08,4,0.97,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-09,5,1.22,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-10,6,1.51,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-11,7,1.79,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2026-12,8,1.99,mean,seasonal_3mo,varies
IRI,XRO,statistical,2026-04-01,2027-01,9,2.05,mean,seasonal_3mo,varies
