date,soi,wind_wpac,wind_cpac,wind_epac
1975-04-01,1.20,,,
1975-05-01,0.60,,,
1975-06-01,1.30,,,
1975-07-01,1.90,,,
1975-08-01,2.00,,,
1975-09-01,2.10,,,
1975-10-01,1.70,,,
1975-11-01,1.20,,,
1975-12-01,2.10,,,
1976-01-01,1.40,,,
1976-02-01,1.70,,,
1976-03-01,1.70,,,
1976-04-01,0.30,,,
1976-05-01,0.40,,,
1976-06-01,0.30,,,
1976-07-01,-0.90,,,
1976-08-01,-0.80,,,
1976-09-01,-1.10,,,
1976-10-01,0.40,,,
1976-11-01,0.70,,,
1976-12-01,-0.30,,,
1977-01-01,-0.40,,,
1977-02-01,1.20,,,
1977-03-01,-0.50,,,
1977-04-01,-0.40,,,
1977-05-01,-0.50,,,
1977-06-01,-0.90,,,
1977-07-01,-1.10,,,
1977-08-01,-0.80,,,
1977-09-01,-0.80,,,
1977-10-01,-1.00,,,
1977-11-01,-1.30,,,
1977-12-01,-1.10,,,
1978-01-01,-0.30,,,
1978-02-01,-2.70,,,
1978-03-01,-0.20,,,
1978-04-01,-0.30,,,
1978-05-01,1.40,,,
1978-06-01,0.70,,,
1978-07-01,0.60,,,
1978-08-01,0.40,,,
1978-09-01,0.10,,,
1978-10-01,-0.40,,,
1978-11-01,-0.00,,,
1978-12-01,-0.10,,,
1979-01-01,-0.40,-3.40,-3.00,0.80
1979-02-01,1.00,-1.00,0.90,-0.40
1979-03-01,0.10,0.30,1.40,0.80
1979-04-01,-0.10,-0.60,0.30,-1.00
1979-05-01,0.50,0.10,0.20,-0.90
1979-06-01,0.60,0.80,1.20,1.20
1979-07-01,1.30,-0.90,-1.50,-1.90
1979-08-01,-0.20,-0.40,-1.40,-2.60
1979-09-01,0.10,0.10,-1.00,-1.50
1979-10-01,-0.10,-2.70,-1.20,-1.60
1979-11-01,-0.40,0.40,1.40,-0.80
1979-12-01,-0.70,-2.70,-0.30,-0.80
1980-01-01,0.40,-1.50,-2.40,-0.30
