date,t2m_mean,t2m_p5,t2m_p25,t2m_p50,t2m_p75,t2m_p95,init_date,n_members
2026-08-28,16.535369492357553,16.29360257154403,16.433316597525902,16.535220790386937,16.640145276033643,16.797580333277526,2026-08-01,50
2026-08-29,16.52308665510993,16.295048967345892,16.419544683702288,16.520338325156217,16.634610697213827,16.768256205775977,2026-08-01,50
2026-08-30,16.505599194048933,16.303447435832506,16.39292945490392,16.490075490948353,16.635146011604434,16.723471891856224,2026-08-01,50
2026-08-31,16.486509818674048,16.281305517667153,16.372429823843287,16.48255051040083,16.610624292082743,16.673582501147298,2026-08-01,50
2026-09-01,16.46274632889464,16.257383870813726,16.36498818661574,16.442904324115705,16.577263553722595,16.664998726136947,2026-08-01,50
2026-09-02,16.444378071649837,16.272239671624224,16.342422548636485,16.45613321486496,16.526567798190413,16.629550580643258,2026-08-01,50
2026-09-03,16.420362267857143,16.225466380512465,16.33929227118546,16.41999786369561,16.508845283065874,16.61494126044335,2026-08-01,50
2026-09-04,16.387488123331117,16.179454947803546,16.292267467251712,16.385105649686423,16.472389064358836,16.587668220585307,2026-08-01,50
2026-09-05,16.365573138702914,16.14630026851911,16.27826172712359,16.36855701805072,16.47477014730151,16.55547853066962,2026-08-01,50
2026-09-06,16.352187091208425,16.159648862412784,16.251134384970772,16.34912472451896,16.454694462621998,16.55146847478243,2026-08-01,50
2026-09-07,16.344029708040875,16.15688659124729,16.235572332337043,16.33294173726909,16.422799832492963,16.566795071537033,2026-08-01,50
2026-09-08,16.31784331243524,16.112370209000442,16.210623486680774,16.314699378668458,16.428573780168534,16.540484706412172,2026-08-01,50
2026-09-09,16.29045323478274,16.081896260092204,16.187820789918945,16.27813848637151,16.39156529706824,16.502443327259993,2026-08-01,50
2026-09-10,16.285459588880254,16.06087203957777,16.175382133552787,16.28659711074806,16.390185359186937,16.47378257777826,2026-08-01,50
2026-09-11,16.267836815125467,16.047041069132817,16.13920587841906,16.305462536356337,16.356530022150967,16.473503982550614,2026-08-01,50
2026-09-12,16.247241065798935,16.063219096303712,16.165898232126608,16.24877576475697,16.333289947473773,16.431910498169064,2026-08-01,50
2026-09-13,16.23220167382741,16.061793782225624,16.130949330603293,16.2208282197505,16.329829778058357,16.398961417831675,2026-08-01,50
2026-09-14,16.219990746861416,16.082094335058443,16.125923928343898,16.209400232190447,16.28662477702485,16.42672611273587,2026-08-01,50
